Mean tBMD,Scan,X Shift,Y Shift,Z Shift
4866.418123339393,C0002033,5.0,4.0,0.0
4742.308905028584,C0001856,4.0,4.0,0.0
5195.531013604481,C0002152,4.0,4.0,0.0
5051.828498357831,C0001852,4.0,4.0,0.0
5284.264383265728,C0001862,4.0,5.0,0.0
5038.6081489541775,C0002104,4.0,4.0,0.0
4988.573741166295,C0001839,4.0,4.0,0.0
4951.561999512405,C0001831,4.0,4.0,0.0
5074.483285177478,C0002198,4.0,4.0,0.0
4836.597768694933,C0001702,4.0,4.0,0.0
4988.446379455709,C0001653,4.0,4.0,0.0
4918.3245861986525,C0001944,4.0,4.0,0.0
4886.357757017525,C0002198,4.0,4.0,0.0
5009.720449132358,C0001624,4.0,4.0,0.0
4927.43340721101,C0001566,3.0,2.0,0.0
4794.440287670285,C0001814,4.0,4.0,0.0
4708.907306183296,C0001691,4.0,4.0,0.0
4882.200082237756,C0002156,4.0,4.0,0.0
5081.562503105899,C0001821,4.0,4.0,0.0
4728.526109019479,C0002202,4.0,4.0,0.0
4844.961666948182,C0001560,1.0,1.0,0.0
5268.470940662989,C0002173,4.0,4.0,0.0
4758.446160829109,C0001856,4.0,4.0,0.0
4833.249113098474,C0001856,4.0,4.0,0.0
5058.07401655352,C0002094,4.0,4.0,0.0
5010.308278145695,C0002104,4.0,4.0,0.0
5049.073846863469,C0001785,4.0,4.0,0.0
4866.458780895084,C0001735,4.0,4.0,0.0
4942.2782687588115,C0001684,4.0,4.0,0.0
5107.068700724073,C0002147,4.0,4.0,0.0
4624.017732227103,C0001566,3.0,2.0,0.0
4850.11533802991,C0002136,4.0,4.0,0.0
5087.5449463936775,C0001552,1.0,1.0,0.0
4804.966965643388,C0001406,156.0,0.0,0.0
5120.582610497953,C0001641,4.0,4.0,0.0
5089.054815656353,C0001641,4.0,4.0,0.0
4986.795443600014,C0001667,4.0,4.0,0.0
4808.972613009064,C0002177,4.0,4.0,0.0
4894.306888975055,C0001560,1.0,1.0,0.0
4686.2801431642665,C0002099,4.0,4.0,0.0
5251.058653700045,C0001592,4.0,4.0,0.0
4697.179163461235,C0002062,4.0,4.0,0.0
4867.485693711362,C0001944,4.0,4.0,0.0
5375.813134947092,C0001821,4.0,4.0,0.0
5025.530171151748,C0002050,4.0,4.0,0.0
5174.6567138901355,C0001839,4.0,4.0,0.0
4830.8552363066365,C0001950,4.0,4.0,0.0
4722.60301933208,C0002177,4.0,4.0,0.0
4543.294752592648,C0002023,4.0,4.0,0.0
4804.3441878892345,C0001724,4.0,4.0,0.0
4644.627693089431,C0001799,4.0,4.0,0.0
4944.3015407301555,C0002152,4.0,4.0,0.0
4849.547744218809,C0001546,2.0,1.0,0.0
4737.613956419008,C0001696,4.0,4.0,0.0
4719.445863060104,C0002110,4.0,4.0,0.0
4684.955199414329,C0001993,4.0,4.0,0.0
5098.642918753145,C0001799,4.0,4.0,0.0
5170.570107359979,C0002167,4.0,4.0,0.0
4868.817663457998,C0001691,4.0,4.0,0.0
4925.737885944478,C0001799,4.0,4.0,0.0
4919.270228451806,C0001792,4.0,4.0,0.0
5115.795245870604,C0001585,5.0,4.0,0.0
4881.945476207895,C0001406,156.0,0.0,0.0
4956.113944993202,C0001890,4.0,4.0,0.0
5139.120229916855,C0001753,4.0,4.0,0.0
5231.801300748916,C0002077,4.0,4.0,0.0
5181.333351103092,C0002221,4.0,4.0,0.0
4961.825430000038,C0002077,4.0,4.0,0.0
5081.480679091449,C0001753,4.0,4.0,0.0
5264.778925113144,C0001808,4.0,4.0,0.0
5295.047084365661,C0002173,4.0,4.0,0.0
4721.589764407992,C0002202,4.0,4.0,0.0
4671.882875273752,C0001566,3.0,2.0,0.0
4900.396326050071,C0001624,4.0,4.0,0.0
4931.226418725072,C0002198,4.0,4.0,0.0
4838.970195112968,C0001566,3.0,2.0,0.0
4822.316073745512,C0001896,4.0,4.0,0.0
5085.766710479678,C0002215,4.0,4.0,0.0
4767.556666565819,C0001758,4.0,4.0,0.0
4730.59195283063,C0001523,1.0,1.0,0.0
4977.941498017943,C0002033,5.0,4.0,0.0
5001.357381798305,C0001927,4.0,4.0,0.0
